Learning	NNP	O	~	~
facts	NNS	I-MajorClaim	14	~
is	VBZ	I-MajorClaim	14	~
more	RBR	I-MajorClaim	14	~
beneficial	JJ	I-MajorClaim	14	~
for	IN	I-MajorClaim	14	~
students	NNS	I-MajorClaim	14	~
in	IN	I-MajorClaim	14	~
both	DT	I-MajorClaim	14	~
social	JJ	I-MajorClaim	14	~
and	CC	I-MajorClaim	14	~
individual	JJ	I-MajorClaim	14	~
life	NN	O	~	~
in	IN	O	~	~
the	DT	O	~	~
view	NN	O	~	~
of	IN	O	~	~
above-mentioned	JJ	O	~	~
reasons	NNS	O	~	~
.	.	O	~	~
Students	NNS	B-Premise	15	For:~
would	MD	I-Premise	15	For:~
improve	VB	I-Premise	15	For:~
their	PRP$	I-Premise	15	For:~
social	JJ	I-Premise	15	For:~
positions	NNS	I-Premise	15	For:~
and	CC	I-Premise	15	For:~
encounter	VB	I-Premise	15	For:~
their	PRP$	I-Premise	15	For:~
problems	NNS	I-Premise	15	For:~
in	IN	I-Premise	15	For:~
positive	JJ	I-Premise	15	For:~
ways	NNS	I-Premise	15	For:~
and	CC	I-Premise	15	For:~
also	RB	I-Premise	15	For:~
intend	VBP	I-Premise	15	For:~
in	IN	I-Premise	15	For:~
the	DT	I-Premise	15	For:~
more	JJR	I-Premise	15	For:~
confidence	NN	I-Premise	15	For:~
manner	NN	I-Premise	15	For:~
and	CC	I-Premise	15	For:~
etc.	NN	I-Premise	15	For:~
.	.	O	~	~
