.	.	O	~	~
If	IN	B-Premise	5	supports:3
people	NNS	I-Premise	5	supports:3
use	VBP	I-Premise	5	supports:3
too	RB	I-Premise	5	supports:3
many	JJ	I-Premise	5	supports:3
private	JJ	I-Premise	5	supports:3
cars	NNS	I-Premise	5	supports:3
,	,	I-Premise	5	supports:3
the	DT	I-Premise	5	supports:3
oil	NN	I-Premise	5	supports:3
and	CC	I-Premise	5	supports:3
gasoline	NN	I-Premise	5	supports:3
nonrenewable	JJ	I-Premise	5	supports:3
will	MD	I-Premise	5	supports:3
run	VB	I-Premise	5	supports:3
out	RP	I-Premise	5	supports:3
quickly	RB	I-Premise	5	supports:3
.	.	O	~	~
Instead	RB	B-Premise	6	supports:3
of	IN	I-Premise	6	supports:3
using	VBG	I-Premise	6	supports:3
many	JJ	I-Premise	6	supports:3
private	JJ	I-Premise	6	supports:3
cars	NNS	I-Premise	6	supports:3
,	,	I-Premise	6	supports:3
people	NNS	I-Premise	6	supports:3
can	MD	I-Premise	6	supports:3
use	VB	I-Premise	6	supports:3
public	JJ	I-Premise	6	supports:3
transportation	NN	I-Premise	6	supports:3
,	,	I-Premise	6	supports:3
such	JJ	I-Premise	6	supports:3
as	IN	I-Premise	6	supports:3
bus	NN	I-Premise	6	supports:3
,	,	I-Premise	6	supports:3
train	NN	I-Premise	6	supports:3
,	,	I-Premise	6	supports:3
subway	NN	I-Premise	6	supports:3
,	,	I-Premise	6	supports:3
each	DT	I-Premise	6	supports:3
one	CD	I-Premise	6	supports:3
can	MD	I-Premise	6	supports:3
get	VB	I-Premise	6	supports:3
far	RB	I-Premise	6	supports:3
more	JJR	I-Premise	6	supports:3
people	NNS	I-Premise	6	supports:3
and	CC	I-Premise	6	supports:3
less	JJR	I-Premise	6	supports:3
oil	NN	I-Premise	6	supports:3
and	CC	I-Premise	6	supports:3
gasoline	NN	I-Premise	6	supports:3
are	VBP	I-Premise	6	supports:3
used	VBN	I-Premise	6	supports:3
up	RP	I-Premise	6	supports:3
per	IN	I-Premise	6	supports:3
person	NN	I-Premise	6	supports:3
.	.	O	~	~
The	DT	B-Premise	7	For:~
use	NN	I-Premise	7	For:~
of	IN	I-Premise	7	For:~
public	JJ	I-Premise	7	For:~
transportation	NN	I-Premise	7	For:~
helps	VBZ	I-Premise	7	For:~
in	IN	I-Premise	7	For:~
reducing	VBG	I-Premise	7	For:~
the	DT	I-Premise	7	For:~
air	NN	I-Premise	7	For:~
pollution	NN	I-Premise	7	For:~
.	.	O	~	~
Cars	NNS	B-Premise	8	supports:7
use	VBP	I-Premise	8	supports:7
oil	NN	I-Premise	8	supports:7
and	CC	I-Premise	8	supports:7
gasoline	NN	I-Premise	8	supports:7
and	CC	I-Premise	8	supports:7
send	VB	I-Premise	8	supports:7
out	RP	I-Premise	8	supports:7
gas	NN	I-Premise	8	supports:7
such	JJ	I-Premise	8	supports:7
as	IN	I-Premise	8	supports:7
carbon	NN	I-Premise	8	supports:7
dioxide	NN	I-Premise	8	supports:7
,	,	I-Premise	8	supports:7
heat	NN	I-Premise	8	supports:7
and	CC	I-Premise	8	supports:7
so	RB	I-Premise	8	supports:7
on	IN	I-Premise	8	supports:7
.	.	O	~	~
They	PRP	O	~	~
cause	VBP	O	~	~
pollution	NN	B-Premise	9	supports:7
and	CC	I-Premise	9	supports:7
make	VB	I-Premise	9	supports:7
the	DT	I-Premise	9	supports:7
Earth	NNP	I-Premise	9	supports:7
warmer	JJR	I-Premise	9	supports:7
.	.	O	~	~
The	DT	B-Premise	10	supports:7
more	JJR	I-Premise	10	supports:7
cars	NNS	I-Premise	10	supports:7
are	VBP	I-Premise	10	supports:7
driven	VBN	I-Premise	10	supports:7
,	,	I-Premise	10	supports:7
the	DT	I-Premise	10	supports:7
more	JJR	I-Premise	10	supports:7
pollution	NN	I-Premise	10	supports:7
will	MD	I-Premise	10	supports:7
be	VB	I-Premise	10	supports:7
put	VBN	I-Premise	10	supports:7
into	IN	I-Premise	10	supports:7
air	NN	I-Premise	10	supports:7
.	.	O	~	~
If	IN	B-Premise	11	supports:7
we	PRP	I-Premise	11	supports:7
use	VBP	I-Premise	11	supports:7
the	DT	I-Premise	11	supports:7
public	JJ	I-Premise	11	supports:7
transportation	NN	I-Premise	11	supports:7
,	,	I-Premise	11	supports:7
less	JJR	I-Premise	11	supports:7
cars	NNS	I-Premise	11	supports:7
will	MD	I-Premise	11	supports:7
be	VB	I-Premise	11	supports:7
used	VBN	I-Premise	11	supports:7
and	CC	I-Premise	11	supports:7
less	JJR	I-Premise	11	supports:7
pollution	NN	I-Premise	11	supports:7
will	MD	I-Premise	11	supports:7
be	VB	I-Premise	11	supports:7
emitted	VBN	I-Premise	11	supports:7
.	.	O	~	~
The	DT	B-Premise	12	supports:7
atmosphere	NN	I-Premise	12	supports:7
,	,	I-Premise	12	supports:7
surrounding	VBG	I-Premise	12	supports:7
us	PRP	I-Premise	12	supports:7
,	,	I-Premise	12	supports:7
will	MD	I-Premise	12	supports:7
be	VB	I-Premise	12	supports:7
protected	VBN	I-Premise	12	supports:7
and	CC	I-Premise	12	supports:7
help	VB	I-Premise	12	supports:7
us	PRP	I-Premise	12	supports:7
more	JJR	I-Premise	12	supports:7
healthy	JJ	I-Premise	12	supports:7
.	.	O	~	~
The	DT	B-Premise	13	For:~
use	NN	I-Premise	13	For:~
of	IN	I-Premise	13	For:~
public	JJ	I-Premise	13	For:~
transportation	NN	I-Premise	13	For:~
make	VBP	I-Premise	13	For:~
us	PRP	I-Premise	13	For:~
live	VB	I-Premise	13	For:~
more	RBR	I-Premise	13	For:~
sociable	JJ	I-Premise	13	For:~
.	.	O	~	~
When	WRB	B-Premise	14	supports:13
we	PRP	I-Premise	14	supports:13
drive	VBP	I-Premise	14	supports:13
a	DT	I-Premise	14	supports:13
private	JJ	I-Premise	14	supports:13
car	NN	I-Premise	14	supports:13
,	,	I-Premise	14	supports:13
we	PRP	I-Premise	14	supports:13
are	VBP	I-Premise	14	supports:13
alone	RB	I-Premise	14	supports:13
or	CC	I-Premise	14	supports:13
only	RB	I-Premise	14	supports:13
our	PRP$	I-Premise	14	supports:13
family	NN	I-Premise	14	supports:13
members	NNS	I-Premise	14	supports:13
that	IN	I-Premise	14	supports:13
we	PRP	I-Premise	14	supports:13
already	RB	I-Premise	14	supports:13
know	VBP	I-Premise	14	supports:13
and	CC	I-Premise	14	supports:13
lost	VBD	I-Premise	14	supports:13
the	DT	I-Premise	14	supports:13
opportunity	NN	I-Premise	14	supports:13
to	TO	I-Premise	14	supports:13
make	VB	I-Premise	14	supports:13
friends	NNS	I-Premise	14	supports:13
with	IN	I-Premise	14	supports:13
others	NNS	I-Premise	14	supports:13
or	CC	I-Premise	14	supports:13
to	TO	I-Premise	14	supports:13
see	VB	I-Premise	14	supports:13
that	IN	I-Premise	14	supports:13
we	PRP	I-Premise	14	supports:13
are	VBP	I-Premise	14	supports:13
a	DT	I-Premise	14	supports:13
part	NN	I-Premise	14	supports:13
of	IN	I-Premise	14	supports:13
this	DT	I-Premise	14	supports:13
society	NN	I-Premise	14	supports:13
.	.	O	~	~
When	WRB	B-Premise	15	supports:13
using	VBG	I-Premise	15	supports:13
public	JJ	I-Premise	15	supports:13
transportation	NN	I-Premise	15	supports:13
,	,	I-Premise	15	supports:13
we	PRP	I-Premise	15	supports:13
have	VBP	I-Premise	15	supports:13
a	DT	I-Premise	15	supports:13
chance	NN	I-Premise	15	supports:13
to	TO	I-Premise	15	supports:13
meet	VB	I-Premise	15	supports:13
more	JJR	I-Premise	15	supports:13
people	NNS	I-Premise	15	supports:13
and	CC	I-Premise	15	supports:13
more	JJR	I-Premise	15	supports:13
chances	NNS	I-Premise	15	supports:13
to	TO	I-Premise	15	supports:13
discovery	NN	I-Premise	15	supports:13
new	JJ	I-Premise	15	supports:13
aspects	NNS	I-Premise	15	supports:13
of	IN	I-Premise	15	supports:13
life	NN	I-Premise	15	supports:13
.	.	O	~	~
Using	VBG	B-Premise	16	~
public	JJ	I-Premise	16	~
transportation	NN	I-Premise	16	~
has	VBZ	I-Premise	16	~
a	DT	I-Premise	16	~
lot	NN	I-Premise	16	~
of	IN	I-Premise	16	~
advantages	NNS	I-Premise	16	~
for	IN	O	~	~
the	DT	O	~	~
modern	JJ	O	~	~
society	NN	O	~	~
facing	VBG	B-Premise	17	~
a	DT	I-Premise	17	~
lot	NN	I-Premise	17	~
of	IN	I-Premise	17	~
problems	NNS	I-Premise	17	~
:	:	O	~	~
the	DT	B-Premise	18	~
environmental	JJ	I-Premise	18	~
population	NN	I-Premise	18	~
,	,	I-Premise	18	~
the	DT	I-Premise	18	~
isolation	NN	I-Premise	18	~
in	IN	I-Premise	18	~
life	NN	I-Premise	18	~
,	,	I-Premise	18	~
the	DT	I-Premise	18	~
depletion	NN	I-Premise	18	~
of	IN	I-Premise	18	~
natural	JJ	I-Premise	18	~
resources	NNS	I-Premise	18	~
.	.	O	~	~
So	RB	O	~	~
,	,	O	~	~
the	DT	B-Claim	19	~
government	NN	I-Claim	19	~
have	VBP	I-Claim	19	~
to	TO	I-Claim	19	~
invest	VB	I-Claim	19	~
more	JJR	I-Claim	19	~
for	IN	I-Claim	19	~
it	PRP	I-Claim	19	~
and	CC	I-Claim	19	~
encourage	VB	I-Claim	19	~
people	NNS	I-Claim	19	~
to	TO	I-Claim	19	~
use	VB	I-Claim	19	~
.	.	O	~	~
