# paragraph 0
# sent
Best	JJS	O	~	~
meditation	NN	I-Premise	12	supports:11
is	VBZ	I-Premise	12	supports:11
that	IN	I-Premise	12	supports:11
I	PRP	I-Premise	12	supports:11
just	RB	I-Premise	12	supports:11
sit	VBP	I-Premise	12	supports:11
down	RP	I-Premise	12	supports:11
,	,	I-Premise	12	supports:11
close	VB	I-Premise	12	supports:11
my	PRP$	I-Premise	12	supports:11
eyes	NNS	I-Premise	12	supports:11
,	,	I-Premise	12	supports:11
and	CC	I-Premise	12	supports:11
count	VB	I-Premise	12	supports:11
my	PRP$	I-Premise	12	supports:11
breath	NN	I-Premise	12	supports:11
.	.	O	~	~
# sent
These	DT	B-Premise	13	supports:9
could	MD	I-Premise	13	supports:9
relieve	VB	I-Premise	13	supports:9
me	PRP	I-Premise	13	supports:9
from	IN	I-Premise	13	supports:9
stress	NN	I-Premise	13	supports:9
.	.	O	~	~
# paragraph 5
# sent
In	IN	O	~	~
conclusion	NN	O	~	~
,	,	O	~	~
there	EX	O	~	~
are	VBP	O	~	~
many	JJ	O	~	~
ways	NNS	O	~	~
to	TO	O	~	~
reduce	VB	O	~	~
the	DT	O	~	~
stress	NN	O	~	~
.	.	O	~	~
# sent
In	IN	O	~	~
my	PRP$	O	~	~
point	NN	O	~	~
of	IN	O	~	~
view	NN	O	~	~
,	,	O	~	~
listening	VBG	B-MajorClaim	14	~
to	TO	I-MajorClaim	14	~
music	NN	I-MajorClaim	14	~
,	,	I-MajorClaim	14	~
exercising	VBG	I-MajorClaim	14	~
,	,	I-MajorClaim	14	~
and	CC	I-MajorClaim	14	~
doing	VBG	I-MajorClaim	14	~
meditation	NN	I-MajorClaim	14	~
are	VBP	I-MajorClaim	14	~
the	DT	I-MajorClaim	14	~
most	RBS	I-MajorClaim	14	~
activities	NNS	I-MajorClaim	14	~
that	IN	I-MajorClaim	14	~
people	NNS	I-MajorClaim	14	~
could	MD	I-MajorClaim	14	~
do	VB	I-MajorClaim	14	~
to	TO	I-MajorClaim	14	~
escape	VB	I-MajorClaim	14	~
from	IN	I-MajorClaim	14	~
stress	NN	I-MajorClaim	14	~
.	.	O	~	~
# sent
It	PRP	B-Claim	15	For:~
is	VBZ	I-Claim	15	For:~
are	VBP	I-Claim	15	For:~
easy	JJ	I-Claim	15	For:~
and	CC	I-Claim	15	For:~
usable	JJ	I-Claim	15	For:~
.	.	O	~	~
# sent
And	CC	B-Claim	16	For:~
everyone	NN	I-Claim	16	For:~
should	MD	I-Claim	16	For:~
find	VB	I-Claim	16	For:~
the	DT	I-Claim	16	For:~
time	NN	I-Claim	16	For:~
to	TO	I-Claim	16	For:~
do	VB	I-Claim	16	For:~
more	JJR	I-Claim	16	For:~
and	CC	I-Claim	16	For:~
more	JJR	I-Claim	16	For:~
to	TO	I-Claim	16	For:~
feel	VB	I-Claim	16	For:~
better	JJR	I-Claim	16	For:~
physically	RB	I-Claim	16	For:~
and	CC	I-Claim	16	For:~
in	IN	I-Claim	16	For:~
everyone	NN	I-Claim	16	For:~
mind	NN	I-Claim	16	For:~
.	.	O	~	~
