# paragraph 0
# sent
Which	WDT	O	~	~
the	DT	O	~	~
subsequent	JJ	O	~	~
paragraphs	NNS	O	~	~
.	.	O	~	~
# paragraph 2
# sent
First	NNP	O	~	~
of	IN	O	~	~
all	DT	O	~	~
,	,	O	~	~
it	PRP	B-Claim	1	For:~
is	VBZ	I-Claim	1	For:~
not	RB	I-Claim	1	For:~
possible	JJ	I-Claim	1	For:~
for	IN	I-Claim	1	For:~
everyone	NN	I-Claim	1	For:~
to	TO	I-Claim	1	For:~
visit	VB	I-Claim	1	For:~
a	DT	I-Claim	1	For:~
foreign	JJ	I-Claim	1	For:~
country	NN	I-Claim	1	For:~
to	TO	I-Claim	1	For:~
learn	VB	I-Claim	1	For:~
a	DT	I-Claim	1	For:~
foreign	JJ	I-Claim	1	For:~
language	NN	I-Claim	1	For:~
as	IN	O	~	~
it	PRP	B-Premise	2	supports:1
requires	VBZ	I-Premise	2	supports:1
large	JJ	I-Premise	2	supports:1
amount	NN	I-Premise	2	supports:1
of	IN	I-Premise	2	supports:1
money	NN	I-Premise	2	supports:1
and	CC	I-Premise	2	supports:1
legal	JJ	I-Premise	2	supports:1
formalities	NNS	I-Premise	2	supports:1
.	.	O	~	~
# sent
In	IN	B-Premise	3	attacks:4
the	DT	I-Premise	3	attacks:4
earlier	JJR	I-Premise	3	attacks:4
periods	NNS	I-Premise	3	attacks:4
,	,	I-Premise	3	attacks:4
it	PRP	I-Premise	3	attacks:4
was	VBD	I-Premise	3	attacks:4
not	RB	I-Premise	3	attacks:4
easy	JJ	I-Premise	3	attacks:4
to	TO	I-Premise	3	attacks:4
find	VB	I-Premise	3	attacks:4
a	DT	I-Premise	3	attacks:4
teacher	NN	I-Premise	3	attacks:4
to	TO	I-Premise	3	attacks:4
learn	VB	I-Premise	3	attacks:4
a	DT	I-Premise	3	attacks:4
foreign	JJ	I-Premise	3	attacks:4
languge	NN	I-Premise	3	attacks:4
.	.	O	~	~
# sent
But	CC	O	~	~
with	IN	B-Claim	4	For:~
the	DT	I-Claim	4	For:~
advent	NN	I-Claim	4	For:~
of	IN	I-Claim	4	For:~
globalization	NN	I-Claim	4	For:~
,	,	I-Claim	4	For:~
one	CD	I-Claim	4	For:~
can	MD	I-Claim	4	For:~
easily	RB	I-Claim	4	For:~
find	VB	I-Claim	4	For:~
a	DT	I-Claim	4	For:~
teacher	NN	I-Claim	4	For:~
in	IN	I-Claim	4	For:~
their	PRP$	I-Claim	4	For:~
own	JJ	I-Claim	4	For:~
country	NN	I-Claim	4	For:~
.	.	O	~	~
# sent
For	IN	O	~	~
example	NN	O	~	~
,	,	O	~	~
in	IN	B-Premise	5	supports:4
Indian	JJ	I-Premise	5	supports:4
sub-continent	JJ	I-Premise	5	supports:4
there	EX	I-Premise	5	supports:4
are	VBP	I-Premise	5	supports:4
large	JJ	I-Premise	5	supports:4
number	NN	I-Premise	5	supports:4
of	IN	I-Premise	5	supports:4
centers	NNS	I-Premise	5	supports:4
opened	VBD	I-Premise	5	supports:4
for	IN	I-Premise	5	supports:4
getting	VBG	I-Premise	5	supports:4
trained	VBN	I-Premise	5	supports:4
in	IN	I-Premise	5	supports:4
variety	NN	I-Premise	5	supports:4
of	IN	I-Premise	5	supports:4
languages	NNS	I-Premise	5	supports:4
like	IN	I-Premise	5	supports:4
french	JJ	I-Premise	5	supports:4
,	,	I-Premise	5	supports:4
german	JJ	I-Premise	5	supports:4
etc.	NN	I-Premise	5	supports:4
.	.	O	~	~
# paragraph 3
# sent
Second	RB	O	~	~
,	,	B-Premise	6	supports:8
colleges	NNS	I-Premise	6	supports:8
and	CC	I-Premise	6	supports:8
universities	NNS	I-Premise	6	supports:8
have	VBP	I-Premise	6	supports:8
introduced	VBN	I-Premise	6	supports:8
foreign	JJ	I-Premise	6	supports:8
language	NN	I-Premise	6	supports:8
course	NN	I-Premise	6	supports:8
as	IN	I-Premise	6	supports:8
a	DT	I-Premise	6	supports:8
part	NN	I-Premise	6	supports:8
of	IN	I-Premise	6	supports:8
their	PRP$	I-Premise	6	supports:8
curriculum	NN	I-Premise	6	supports:8
.	.	B-Premise	7	supports:8
# sent
Students	NNS	I-Premise	7	supports:8
can	MD	I-Premise	7	supports:8
choose	VB	I-Premise	7	supports:8
any	DT	I-Premise	7	supports:8
language	NN	I-Premise	7	supports:8
from	IN	I-Premise	7	supports:8
the	DT	I-Premise	7	supports:8
set	NN	I-Premise	7	supports:8
of	IN	I-Premise	7	supports:8
languages	NNS	I-Premise	7	supports:8
available	JJ	I-Premise	7	supports:8
at	IN	I-Premise	7	supports:8
a	DT	I-Premise	7	supports:8
university	NN	I-Premise	7	supports:8
.	.	O	~	~
# sent
So	RB	O	~	~
,	,	B-Claim	8	For:~
it	PRP	I-Claim	8	For:~
is	VBZ	I-Claim	8	For:~
very	RB	I-Claim	8	For:~
easy	JJ	I-Claim	8	For:~
to	TO	I-Claim	8	For:~
learn	VB	I-Claim	8	For:~
a	DT	I-Claim	8	For:~
foreign	JJ	I-Claim	8	For:~
in	IN	I-Claim	8	For:~
our	PRP$	I-Claim	8	For:~
own	JJ	I-Claim	8	For:~
country	NN	I-Claim	8	For:~
.	.	O	~	~
# sent
Also	RB	O	~	~
,	,	B-Premise	9	supports:8
highly	RB	I-Premise	9	supports:8
qualified	VBN	I-Premise	9	supports:8
foreign	JJ	I-Premise	9	supports:8
language	NN	I-Premise	9	supports:8
teachers	NNS	I-Premise	9	supports:8
are	VBP	I-Premise	9	supports:8
easily	RB	I-Premise	9	supports:8
accessible	JJ	I-Premise	9	supports:8
in	IN	I-Premise	9	supports:8
various	JJ	I-Premise	9	supports:8
schools	NNS	I-Premise	9	supports:8
and	CC	I-Premise	9	supports:8
colleges	NNS	I-Premise	9	supports:8
.	.	O	~	~
# paragraph 4
# sent
Third	NNP	O	~	~
,	,	B-Claim	10	For:~
technology	NN	I-Claim	10	For:~
has	VBZ	I-Claim	10	For:~
also	RB	I-Claim	10	For:~
played	VBN	I-Claim	10	For:~
a	DT	I-Claim	10	For:~
great	JJ	I-Claim	10	For:~
role	NN	I-Claim	10	For:~
in	IN	I-Claim	10	For:~
reducing	VBG	I-Claim	10	For:~
the	DT	I-Claim	10	For:~
separation	NN	I-Claim	10	For:~
between	IN	I-Claim	10	For:~
learning	VBG	I-Claim	10	For:~
a	DT	I-Claim	10	For:~
foreign	JJ	I-Claim	10	For:~
languge	NN	I-Claim	10	For:~
in	IN	I-Claim	10	For:~
our	PRP$	I-Claim	10	For:~
own	JJ	I-Claim	10	For:~
country	NN	I-Claim	10	For:~
.	.	B-Premise	11	supports:10
# sent
A	DT	I-Premise	11	supports:10
large	JJ	I-Premise	11	supports:10
number	NN	I-Premise	11	supports:10
of	IN	I-Premise	11	supports:10
foreign	JJ	I-Premise	11	supports:10
language	NN	I-Premise	11	supports:10
courses	NNS	I-Premise	11	supports:10
are	VBP	I-Premise	11	supports:10
available	JJ	I-Premise	11	supports:10
online	NN	I-Premise	11	supports:10
and	CC	I-Premise	11	supports:10
there	EX	I-Premise	11	supports:10
are	VBP	I-Premise	11	supports:10
various	JJ	I-Premise	11	supports:10
forums	NNS	I-Premise	11	supports:10
where	WRB	I-Premise	11	supports:10
people	NNS	I-Premise	11	supports:10
can	MD	I-Premise	11	supports:10
discuss	VB	I-Premise	11	supports:10
their	PRP$	I-Premise	11	supports:10
problems	NNS	I-Premise	11	supports:10
on	IN	I-Premise	11	supports:10
different	JJ	I-Premise	11	supports:10
foreign	JJ	I-Premise	11	supports:10
languages	NNS	I-Premise	11	supports:10
.	.	O	~	~
# paragraph 5
# sent
To	TO	O	~	~
sum	VB	O	~	~
up	RP	O	~	~
,	,	B-MajorClaim	12	~
it	PRP	I-MajorClaim	12	~
is	VBZ	I-MajorClaim	12	~
better	RBR	I-MajorClaim	12	~
for	IN	I-MajorClaim	12	~
people	NNS	I-MajorClaim	12	~
to	TO	I-MajorClaim	12	~
learn	VB	I-MajorClaim	12	~
a	DT	I-MajorClaim	12	~
foreign	JJ	I-MajorClaim	12	~
language	NN	I-MajorClaim	12	~
in	IN	I-MajorClaim	12	~
their	PRP$	I-MajorClaim	12	~
own	JJ	I-MajorClaim	12	~
country	NN	I-MajorClaim	12	~
.	.	B-Claim	13	For:~
# sent
It	PRP	I-Claim	13	For:~
is	VBZ	I-Claim	13	For:~
cost	NN	I-Claim	13	For:~
effective	JJ	I-Claim	13	For:~
and	CC	I-Claim	13	For:~
there	EX	I-Claim	13	For:~
is	VBZ	I-Claim	13	For:~
a	DT	I-Claim	13	For:~
pool	NN	I-Claim	13	For:~
of	IN	I-Claim	13	For:~
opportunities	NNS	I-Claim	13	For:~
available	JJ	I-Claim	13	For:~
now	RB	I-Claim	13	For:~
to	TO	I-Claim	13	For:~
accomplish	VB	I-Claim	13	For:~
the	DT	I-Claim	13	For:~
same	JJ	I-Claim	13	For:~
.	.	O	~	~
