# paragraph 0
# sent
Fatherhood	NNP	O	~	~
care	NN	I-Premise	6	supports:5
of	IN	I-Premise	6	supports:5
children	NNS	I-Premise	6	supports:5
and	CC	I-Premise	6	supports:5
a	DT	I-Premise	6	supports:5
man	NN	I-Premise	6	supports:5
who	WP	I-Premise	6	supports:5
brings	VBZ	I-Premise	6	supports:5
money	NN	I-Premise	6	supports:5
home	NN	I-Premise	6	supports:5
can	MD	I-Premise	6	supports:5
not	RB	I-Premise	6	supports:5
be	VB	I-Premise	6	supports:5
seen	VBN	I-Premise	6	supports:5
anymore	RB	I-Premise	6	supports:5
in	IN	I-Premise	6	supports:5
today	NN	I-Premise	6	supports:5
's	POS	I-Premise	6	supports:5
society	NN	I-Premise	6	supports:5
.	.	O	~	~
# sent
Instead	RB	O	~	~
,	,	O	~	~
all	DT	B-Premise	7	supports:4
of	IN	I-Premise	7	supports:4
the	DT	I-Premise	7	supports:4
couple	NN	I-Premise	7	supports:4
duties	NNS	I-Premise	7	supports:4
are	VBP	I-Premise	7	supports:4
performed	VBN	I-Premise	7	supports:4
equally	RB	I-Premise	7	supports:4
and	CC	I-Premise	7	supports:4
interchangeably	RB	I-Premise	7	supports:4
by	IN	I-Premise	7	supports:4
individuals	NNS	I-Premise	7	supports:4
.	.	O	~	~
# sent
Therefore	RB	O	~	~
,	,	O	~	~
I	PRP	O	~	~
believe	VBP	O	~	~
that	IN	O	~	~
having	VBG	B-Premise	8	supports:4
and	CC	I-Premise	8	supports:4
raising	VBG	I-Premise	8	supports:4
children	NNS	I-Premise	8	supports:4
should	MD	I-Premise	8	supports:4
not	RB	I-Premise	8	supports:4
be	VB	I-Premise	8	supports:4
different	JJ	I-Premise	8	supports:4
than	IN	I-Premise	8	supports:4
any	DT	I-Premise	8	supports:4
other	JJ	I-Premise	8	supports:4
daily	JJ	I-Premise	8	supports:4
activity	NN	I-Premise	8	supports:4
.	.	O	~	~
# paragraph 4
# sent
In	IN	O	~	~
conclusion	NN	O	~	~
,	,	O	~	~
fatherhood	NN	B-MajorClaim	9	~
should	MD	I-MajorClaim	9	~
be	VB	I-MajorClaim	9	~
as	IN	I-MajorClaim	9	~
present	JJ	I-MajorClaim	9	~
as	IN	I-MajorClaim	9	~
motherhood	NN	I-MajorClaim	9	~
in	IN	I-MajorClaim	9	~
a	DT	I-MajorClaim	9	~
child	NN	I-MajorClaim	9	~
's	POS	I-MajorClaim	9	~
life	NN	I-MajorClaim	9	~
starting	VBG	I-MajorClaim	9	~
from	IN	I-MajorClaim	9	~
the	DT	I-MajorClaim	9	~
the	DT	I-MajorClaim	9	~
birth	NN	I-MajorClaim	9	~
due	JJ	I-MajorClaim	9	~
to	TO	I-MajorClaim	9	~
providing	VBG	I-MajorClaim	9	~
appropriate	JJ	I-MajorClaim	9	~
parenthood	NN	I-MajorClaim	9	~
and	CC	I-MajorClaim	9	~
having	VBG	I-MajorClaim	9	~
healthy	JJ	I-MajorClaim	9	~
family	NN	I-MajorClaim	9	~
relationships	NNS	I-MajorClaim	9	~
.	.	O	~	~
