# paragraph 0
# sent
Farmland	NNP	O	~	~
important	JJ	I-MajorClaim	0	~
.	.	O	~	~
# sent
The	DT	O	~	~
reasons	NNS	O	~	~
are	VBP	O	~	~
based	VBN	O	~	~
on	IN	O	~	~
the	DT	O	~	~
following	VBG	O	~	~
aspects	NNS	O	~	~
.	.	O	~	~
# paragraph 2
# sent
First	RB	O	~	~
,	,	O	~	~
land	NN	B-Premise	1	supports:6
used	VBN	I-Premise	1	supports:6
for	IN	I-Premise	1	supports:6
farmland	NN	I-Premise	1	supports:6
,	,	I-Premise	1	supports:6
housing	NN	I-Premise	1	supports:6
and	CC	I-Premise	1	supports:6
industry	NN	I-Premise	1	supports:6
can	MD	I-Premise	1	supports:6
benefit	VB	I-Premise	1	supports:6
more	JJR	I-Premise	1	supports:6
to	TO	I-Premise	1	supports:6
the	DT	I-Premise	1	supports:6
whole	JJ	I-Premise	1	supports:6
society	NN	I-Premise	1	supports:6
.	.	O	~	~
# sent
There	EX	O	~	~
is	VBZ	O	~	~
no	DT	O	~	~
deny	VBP	O	~	~
that	IN	O	~	~
the	DT	B-Premise	2	supports:6
economy	NN	I-Premise	2	supports:6
of	IN	I-Premise	2	supports:6
the	DT	I-Premise	2	supports:6
whole	JJ	I-Premise	2	supports:6
society	NN	I-Premise	2	supports:6
will	MD	I-Premise	2	supports:6
be	VB	I-Premise	2	supports:6
developed	VBN	I-Premise	2	supports:6
with	IN	I-Premise	2	supports:6
the	DT	I-Premise	2	supports:6
help	NN	I-Premise	2	supports:6
of	IN	I-Premise	2	supports:6
agriculture	NN	I-Premise	2	supports:6
,	,	I-Premise	2	supports:6
real	JJ	I-Premise	2	supports:6
estate	NN	I-Premise	2	supports:6
industry	NN	I-Premise	2	supports:6
and	CC	I-Premise	2	supports:6
industry	NN	I-Premise	2	supports:6
,	,	I-Premise	2	supports:6
in	IN	I-Premise	2	supports:6
particularly	RB	I-Premise	2	supports:6
industry	NN	I-Premise	2	supports:6
which	WDT	I-Premise	2	supports:6
is	VBZ	I-Premise	2	supports:6
the	DT	I-Premise	2	supports:6
pillar	NN	I-Premise	2	supports:6
industry	NN	I-Premise	2	supports:6
of	IN	I-Premise	2	supports:6
national	JJ	I-Premise	2	supports:6
economy	NN	I-Premise	2	supports:6
,	,	O	~	~
because	IN	O	~	~
they	PRP	B-Premise	3	supports:2
produce	VBP	I-Premise	3	supports:2
plenty	NN	I-Premise	3	supports:2
of	IN	I-Premise	3	supports:2
profits	NNS	I-Premise	3	supports:2
.	.	O	~	~
# sent
What	WP	O	~	~
is	VBZ	O	~	~
more	JJR	O	~	~
,	,	O	~	~
the	DT	B-Premise	4	supports:6
society	NN	I-Premise	4	supports:6
will	MD	I-Premise	4	supports:6
be	VB	I-Premise	4	supports:6
stable	JJ	I-Premise	4	supports:6
and	CC	I-Premise	4	supports:6
harmony	NN	I-Premise	4	supports:6
due	JJ	I-Premise	4	supports:6
to	TO	I-Premise	4	supports:6
more	JJR	I-Premise	4	supports:6
farmland	NN	I-Premise	4	supports:6
and	CC	I-Premise	4	supports:6
industry	NN	I-Premise	4	supports:6
.	.	O	~	~
# sent
It	PRP	O	~	~
is	VBZ	O	~	~
widely	RB	O	~	~
acknowledged	VBN	O	~	~
that	IN	O	~	~
more	JJR	B-Premise	5	supports:4
farmlands	NNS	I-Premise	5	supports:4
and	CC	I-Premise	5	supports:4
industries	NNS	I-Premise	5	supports:4
can	MD	I-Premise	5	supports:4
provide	VB	I-Premise	5	supports:4
more	JJR	I-Premise	5	supports:4
job	NN	I-Premise	5	supports:4
opportunities	NNS	I-Premise	5	supports:4
which	WDT	I-Premise	5	supports:4
can	MD	I-Premise	5	supports:4
decrease	VB	I-Premise	5	supports:4
the	DT	I-Premise	5	supports:4
unemployment	NN	I-Premise	5	supports:4
rate	NN	I-Premise	5	supports:4
and	CC	I-Premise	5	supports:4
crime	NN	I-Premise	5	supports:4
rate	NN	I-Premise	5	supports:4
.	.	O	~	~
# sent
Thus	RB	O	~	~
the	DT	B-Claim	6	For:~
needs	NNS	I-Claim	6	For:~
for	IN	I-Claim	6	For:~
farmland	NN	I-Claim	6	For:~
,	,	I-Claim	6	For:~
housing	NN	I-Claim	6	For:~
and	CC	I-Claim	6	For:~
industry	NN	I-Claim	6	For:~
are	VBP	I-Claim	6	For:~
more	RBR	I-Claim	6	For:~
important	JJ	I-Claim	6	For:~
.	.	O	~	~
# paragraph 3
# sent
Second	RB	O	~	~
,	,	O	~	~
farmland	NN	B-Claim	7	For:~
,	,	I-Claim	7	For:~
housing	NN	I-Claim	7	For:~
and	CC	I-Claim	7	For:~
industry	NN	I-Claim	7	For:~
can	MD	I-Claim	7	For:~
satisfy	VB	I-Claim	7	For:~
the	DT	I-Claim	7	For:~
desire	NN	I-Claim	7	For:~
of	IN	I-Claim	7	For:~
human	JJ	I-Claim	7	For:~
that	IN	I-Claim	7	For:~
living	VBG	I-Claim	7	For:~
a	DT	I-Claim	7	For:~
better	JJR	I-Claim	7	For:~
life	NN	I-Claim	7	For:~
.	.	O	~	~
# sent
It	PRP	O	~	~
is	VBZ	O	~	~
clearly	RB	O	~	~
understood	VBN	O	~	~
that	IN	O	~	~
farming	NN	B-Premise	8	supports:7
,	,	I-Premise	8	supports:7
housing	NN	I-Premise	8	supports:7
and	CC	I-Premise	8	supports:7
industry	NN	I-Premise	8	supports:7
provide	VBP	I-Premise	8	supports:7
us	PRP	I-Premise	8	supports:7
the	DT	I-Premise	8	supports:7
food	NN	I-Premise	8	supports:7
we	PRP	I-Premise	8	supports:7
eat	VBP	I-Premise	8	supports:7
,	,	I-Premise	8	supports:7
place	VBP	I-Premise	8	supports:7
we	PRP	I-Premise	8	supports:7
live	VB	I-Premise	8	supports:7
,	,	I-Premise	8	supports:7
clothes	NNS	I-Premise	8	supports:7
we	PRP	I-Premise	8	supports:7
wear	VBP	I-Premise	8	supports:7
,	,	I-Premise	8	supports:7
which	WDT	I-Premise	8	supports:7
are	VBP	I-Premise	8	supports:7
essential	JJ	I-Premise	8	supports:7
to	TO	I-Premise	8	supports:7
live	VB	I-Premise	8	supports:7
.	.	O	~	~
# sent
Especially	RB	B-Premise	9	supports:7
in	IN	I-Premise	9	supports:7
some	DT	I-Premise	9	supports:7
poor	JJ	I-Premise	9	supports:7
areas	NNS	I-Premise	9	supports:7
,	,	I-Premise	9	supports:7
survival	NN	I-Premise	9	supports:7
is	VBZ	I-Premise	9	supports:7
the	DT	I-Premise	9	supports:7
most	RBS	I-Premise	9	supports:7
significant	JJ	I-Premise	9	supports:7
thing	NN	I-Premise	9	supports:7
.	.	O	~	~
# sent
In	IN	O	~	~
addition	NN	O	~	~
,	,	O	~	~
highly	RB	B-Premise	10	supports:7
developed	VBD	I-Premise	10	supports:7
agriculture	NN	I-Premise	10	supports:7
and	CC	I-Premise	10	supports:7
industry	NN	I-Premise	10	supports:7
can	MD	I-Premise	10	supports:7
improve	VB	I-Premise	10	supports:7
our	PRP$	I-Premise	10	supports:7
living	NN	I-Premise	10	supports:7
conditions	NNS	I-Premise	10	supports:7
which	WDT	I-Premise	10	supports:7
allow	VBP	I-Premise	10	supports:7
us	PRP	I-Premise	10	supports:7
have	VB	I-Premise	10	supports:7
a	DT	I-Premise	10	supports:7
good	JJ	I-Premise	10	supports:7
quality	NN	I-Premise	10	supports:7
life	NN	I-Premise	10	supports:7
.	.	O	~	~
# paragraph 4
# sent
Last	JJ	O	~	~
I	PRP	O	~	~
want	VBP	O	~	~
to	TO	O	~	~
mention	VB	O	~	~
is	VBZ	O	~	~
that	IN	O	~	~
even	RB	O	~	~
though	IN	O	~	~
farmland	NN	B-Premise	11	attacks:12
,	,	I-Premise	11	attacks:12
housing	NN	I-Premise	11	attacks:12
and	CC	I-Premise	11	attacks:12
industry	NN	I-Premise	11	attacks:12
will	MD	I-Premise	11	attacks:12
occupy	VB	I-Premise	11	attacks:12
the	DT	I-Premise	11	attacks:12
land	NN	I-Premise	11	attacks:12
used	VBN	I-Premise	11	attacks:12
for	IN	I-Premise	11	attacks:12
endangered	VBN	I-Premise	11	attacks:12
animals	NNS	I-Premise	11	attacks:12
,	,	O	~	~
it	PRP	B-Claim	12	For:~
can	MD	I-Claim	12	For:~
do	VB	I-Claim	12	For:~
good	JJ	I-Claim	12	For:~
to	TO	I-Claim	12	For:~
protect	VB	I-Claim	12	For:~
the	DT	I-Claim	12	For:~
endangered	VBN	I-Claim	12	For:~
animals	NNS	I-Claim	12	For:~
.	.	O	~	~
# sent
According	VBG	O	~	~
to	TO	O	~	~
the	DT	O	~	~
discuss	VBP	O	~	~
above	IN	O	~	~
,	,	O	~	~
agriculture	NN	B-Premise	13	supports:12
and	CC	I-Premise	13	supports:12
industry	NN	I-Premise	13	supports:12
make	VBP	I-Premise	13	supports:12
a	DT	I-Premise	13	supports:12
contribution	NN	I-Premise	13	supports:12
to	TO	I-Premise	13	supports:12
the	DT	I-Premise	13	supports:12
economy	NN	I-Premise	13	supports:12
.	.	O	~	~
# sent
With	IN	O	~	~
the	DT	O	~	~
economy	NN	O	~	~
development	NN	O	~	~
,	,	O	~	~
we	PRP	B-Premise	14	supports:12
can	MD	I-Premise	14	supports:12
have	VB	I-Premise	14	supports:12
more	RBR	I-Premise	14	supports:12
advanced	JJ	I-Premise	14	supports:12
methods	NNS	I-Premise	14	supports:12
to	TO	I-Premise	14	supports:12
take	VB	I-Premise	14	supports:12
care	NN	I-Premise	14	supports:12
of	IN	I-Premise	14	supports:12
endangered	VBN	I-Premise	14	supports:12
animals	NNS	I-Premise	14	supports:12
.	.	O	~	~
# sent
For	IN	O	~	~
instant	NN	O	~	~
,	,	O	~	~
we	PRP	B-Premise	15	supports:14
can	MD	I-Premise	15	supports:14
invent	VB	I-Premise	15	supports:14
new	JJ	I-Premise	15	supports:14
technique	NN	I-Premise	15	supports:14
to	TO	I-Premise	15	supports:14
help	VB	I-Premise	15	supports:14
endangered	VBN	I-Premise	15	supports:14
animals	NNS	I-Premise	15	supports:14
to	TO	I-Premise	15	supports:14
produce	VB	I-Premise	15	supports:14
offspring	NN	I-Premise	15	supports:14
to	TO	I-Premise	15	supports:14
be	VB	I-Premise	15	supports:14
sure	JJ	I-Premise	15	supports:14
they	PRP	I-Premise	15	supports:14
would	MD	I-Premise	15	supports:14
not	RB	I-Premise	15	supports:14
distinct	JJ	I-Premise	15	supports:14
.	.	O	~	~
# paragraph 5
# sent
All	DT	O	~	~
in	IN	O	~	~
all	DT	O	~	~
,	,	O	~	~
protecting	VBG	B-Claim	16	Against:~
endangered	VBN	I-Claim	16	Against:~
animals	NNS	I-Claim	16	Against:~
is	VBZ	I-Claim	16	Against:~
necessary	JJ	I-Claim	16	Against:~
,	,	O	~	~
nevertheless	RB	O	~	~
,	,	O	~	~
human	JJ	B-MajorClaim	17	~
needs	NNS	I-MajorClaim	17	~
for	IN	I-MajorClaim	17	~
farmland	NN	I-MajorClaim	17	~
,	,	I-MajorClaim	17	~
housing	NN	I-MajorClaim	17	~
and	CC	I-MajorClaim	17	~
industry	NN	I-MajorClaim	17	~
are	VBP	I-MajorClaim	17	~
more	RBR	I-MajorClaim	17	~
important	JJ	I-MajorClaim	17	~
.	.	O	~	~
