# paragraph 0
# sent
Citizen	NNP	O	~	~
a	DT	I-Claim	2	Against:~
citizen	NN	I-Claim	2	Against:~
.	.	O	~	~
# paragraph 3
# sent
Some	DT	O	~	~
people	NNS	O	~	~
argue	VBP	O	~	~
that	IN	O	~	~
individuals	NNS	B-Claim	3	For:~
of	IN	I-Claim	3	For:~
a	DT	I-Claim	3	For:~
country	NN	I-Claim	3	For:~
are	VBP	I-Claim	3	For:~
responsible	JJ	I-Claim	3	For:~
for	IN	I-Claim	3	For:~
many	JJ	I-Claim	3	For:~
other	JJ	I-Claim	3	For:~
things	NNS	I-Claim	3	For:~
apart	RB	I-Claim	3	For:~
from	IN	I-Claim	3	For:~
paying	VBG	I-Claim	3	For:~
tax	NN	I-Claim	3	For:~
.	.	O	~	~
# sent
In	IN	O	~	~
fact	NN	O	~	~
,	,	O	~	~
in	IN	B-Premise	4	supports:3
order	NN	I-Premise	4	supports:3
to	TO	I-Premise	4	supports:3
develop	VB	I-Premise	4	supports:3
a	DT	I-Premise	4	supports:3
country	NN	I-Premise	4	supports:3
,	,	I-Premise	4	supports:3
citizens	NNS	I-Premise	4	supports:3
must	MD	I-Premise	4	supports:3
obey	VB	I-Premise	4	supports:3
laws	NNS	I-Premise	4	supports:3
,	,	I-Premise	4	supports:3
which	WDT	I-Premise	4	supports:3
were	VBD	I-Premise	4	supports:3
imposed	VBN	I-Premise	4	supports:3
by	IN	I-Premise	4	supports:3
the	DT	I-Premise	4	supports:3
government	NN	I-Premise	4	supports:3
.	.	O	~	~
# sent
In	IN	O	~	~
this	DT	O	~	~
way	NN	O	~	~
,	,	O	~	~
the	DT	B-Premise	5	supports:4
crime	NN	I-Premise	5	supports:4
rate	NN	I-Premise	5	supports:4
is	VBZ	I-Premise	5	supports:4
reduced	VBN	I-Premise	5	supports:4
and	CC	I-Premise	5	supports:4
society	NN	I-Premise	5	supports:4
becomes	VBZ	I-Premise	5	supports:4
a	DT	I-Premise	5	supports:4
peaceful	JJ	I-Premise	5	supports:4
place	NN	I-Premise	5	supports:4
,	,	I-Premise	5	supports:4
so	IN	I-Premise	5	supports:4
the	DT	I-Premise	5	supports:4
country	NN	I-Premise	5	supports:4
will	MD	I-Premise	5	supports:4
develop	VB	I-Premise	5	supports:4
at	IN	I-Premise	5	supports:4
a	DT	I-Premise	5	supports:4
rapid	JJ	I-Premise	5	supports:4
pace	NN	I-Premise	5	supports:4
.	.	O	~	~
# sent
Furthermore	RB	O	~	~
,	,	O	~	~
being	VBG	B-Premise	6	supports:3
a	DT	I-Premise	6	supports:3
citizen	NN	I-Premise	6	supports:3
in	IN	I-Premise	6	supports:3
society	NN	I-Premise	6	supports:3
should	MD	I-Premise	6	supports:3
protect	VB	I-Premise	6	supports:3
the	DT	I-Premise	6	supports:3
country	NN	I-Premise	6	supports:3
's	POS	I-Premise	6	supports:3
culture	NN	I-Premise	6	supports:3
and	CC	I-Premise	6	supports:3
history	NN	I-Premise	6	supports:3
.	.	O	~	~
# sent
For	IN	O	~	~
instance	NN	O	~	~
,	,	O	~	~
people	NNS	B-Premise	7	supports:6
should	MD	I-Premise	7	supports:6
have	VB	I-Premise	7	supports:6
knowledge	NN	I-Premise	7	supports:6
about	IN	I-Premise	7	supports:6
their	PRP$	I-Premise	7	supports:6
own	JJ	I-Premise	7	supports:6
culture	NN	I-Premise	7	supports:6
and	CC	I-Premise	7	supports:6
history	NN	I-Premise	7	supports:6
by	IN	I-Premise	7	supports:6
studying	VBG	I-Premise	7	supports:6
at	IN	I-Premise	7	supports:6
school	NN	I-Premise	7	supports:6
with	IN	I-Premise	7	supports:6
full	JJ	I-Premise	7	supports:6
concentration	NN	I-Premise	7	supports:6
or	CC	I-Premise	7	supports:6
reading	VBG	I-Premise	7	supports:6
them	PRP	I-Premise	7	supports:6
from	IN	I-Premise	7	supports:6
books	NNS	I-Premise	7	supports:6
.	.	O	~	~
# sent
On	IN	O	~	~
the	DT	O	~	~
other	JJ	O	~	~
hand	NN	O	~	~
,	,	O	~	~
a	DT	B-Premise	8	supports:3
person	NN	I-Premise	8	supports:3
has	VBZ	I-Premise	8	supports:3
to	TO	I-Premise	8	supports:3
unite	VB	I-Premise	8	supports:3
with	IN	I-Premise	8	supports:3
other	JJ	I-Premise	8	supports:3
people	NNS	I-Premise	8	supports:3
in	IN	I-Premise	8	supports:3
the	DT	I-Premise	8	supports:3
community	NN	I-Premise	8	supports:3
so	RB	I-Premise	8	supports:3
as	IN	I-Premise	8	supports:3
to	TO	I-Premise	8	supports:3
develop	VB	I-Premise	8	supports:3
their	PRP$	I-Premise	8	supports:3
nation	NN	I-Premise	8	supports:3
.	.	O	~	~
# sent
Indeed	RB	O	~	~
,	,	O	~	~
if	IN	B-Premise	9	supports:8
people	NNS	I-Premise	9	supports:8
in	IN	I-Premise	9	supports:8
society	NN	I-Premise	9	supports:8
have	VBP	I-Premise	9	supports:8
a	DT	I-Premise	9	supports:8
strong	JJ	I-Premise	9	supports:8
bond	NN	I-Premise	9	supports:8
with	IN	I-Premise	9	supports:8
each	DT	I-Premise	9	supports:8
other	JJ	I-Premise	9	supports:8
,	,	I-Premise	9	supports:8
society	NN	I-Premise	9	supports:8
will	MD	I-Premise	9	supports:8
become	VB	I-Premise	9	supports:8
a	DT	I-Premise	9	supports:8
peaceful	JJ	I-Premise	9	supports:8
place	NN	I-Premise	9	supports:8
,	,	I-Premise	9	supports:8
where	WRB	I-Premise	9	supports:8
people	NNS	I-Premise	9	supports:8
are	VBP	I-Premise	9	supports:8
helping	VBG	I-Premise	9	supports:8
and	CC	I-Premise	9	supports:8
sharing	VBG	I-Premise	9	supports:8
to	TO	I-Premise	9	supports:8
each	DT	I-Premise	9	supports:8
other	JJ	I-Premise	9	supports:8
.	.	O	~	~
# paragraph 4
# sent
Taking	VBG	O	~	~
everything	NN	O	~	~
into	IN	O	~	~
account	NN	O	~	~
,	,	O	~	~
I	PRP	O	~	~
strongly	RB	O	~	~
believe	VBP	O	~	~
that	IN	O	~	~
being	VBG	B-MajorClaim	10	~
a	DT	I-MajorClaim	10	~
citizen	NN	I-MajorClaim	10	~
involves	VBZ	I-MajorClaim	10	~
in	IN	I-MajorClaim	10	~
a	DT	I-MajorClaim	10	~
number	NN	I-MajorClaim	10	~
of	IN	I-MajorClaim	10	~
duties	NNS	I-MajorClaim	10	~
,	,	I-MajorClaim	10	~
other	JJ	I-MajorClaim	10	~
than	IN	I-MajorClaim	10	~
paying	VBG	I-MajorClaim	10	~
taxes	NNS	I-MajorClaim	10	~
.	.	O	~	~
# sent
People	NNS	B-Claim	11	For:~
in	IN	I-Claim	11	For:~
society	NN	I-Claim	11	For:~
must	MD	I-Claim	11	For:~
do	VB	I-Claim	11	For:~
more	JJR	I-Claim	11	For:~
than	IN	I-Claim	11	For:~
paying	VBG	I-Claim	11	For:~
taxes	NNS	I-Claim	11	For:~
to	TO	I-Claim	11	For:~
contribute	VB	I-Claim	11	For:~
to	TO	I-Claim	11	For:~
their	PRP$	I-Claim	11	For:~
society	NN	I-Claim	11	For:~
.	.	O	~	~
