# paragraph 0
# sent
Which	WDT	O	~	~
be	VB	I-Premise	2	supports:7
.	.	O	~	~
# sent
For	IN	O	~	~
instance	NN	O	~	~
,	,	O	~	~
Albert	NNP	B-Premise	3	supports:2
Einstein	NNP	I-Premise	3	supports:2
,	,	I-Premise	3	supports:2
one	CD	I-Premise	3	supports:2
of	IN	I-Premise	3	supports:2
the	DT	I-Premise	3	supports:2
most	RBS	I-Premise	3	supports:2
competent	JJ	I-Premise	3	supports:2
physicians	NNS	I-Premise	3	supports:2
in	IN	I-Premise	3	supports:2
history	NN	I-Premise	3	supports:2
,	,	I-Premise	3	supports:2
devoted	JJ	I-Premise	3	supports:2
most	JJS	I-Premise	3	supports:2
of	IN	I-Premise	3	supports:2
his	PRP$	I-Premise	3	supports:2
life	NN	I-Premise	3	supports:2
to	TO	I-Premise	3	supports:2
develop	VB	I-Premise	3	supports:2
theory	NN	I-Premise	3	supports:2
in	IN	I-Premise	3	supports:2
physics	NN	I-Premise	3	supports:2
and	CC	I-Premise	3	supports:2
finally	RB	I-Premise	3	supports:2
established	VBN	I-Premise	3	supports:2
special	JJ	I-Premise	3	supports:2
and	CC	I-Premise	3	supports:2
general	JJ	I-Premise	3	supports:2
relativity	NN	I-Premise	3	supports:2
.	.	O	~	~
# sent
Instead	RB	O	~	~
,	,	O	~	~
he	PRP	B-Premise	4	supports:2
hardly	RB	I-Premise	4	supports:2
cared	VBD	I-Premise	4	supports:2
about	IN	I-Premise	4	supports:2
something	NN	I-Premise	4	supports:2
else	RB	I-Premise	4	supports:2
.	.	O	~	~
# sent
It	PRP	B-Premise	5	supports:2
is	VBZ	I-Premise	5	supports:2
said	VBD	I-Premise	5	supports:2
that	IN	I-Premise	5	supports:2
,	,	I-Premise	5	supports:2
surprisingly	RB	I-Premise	5	supports:2
,	,	I-Premise	5	supports:2
he	PRP	I-Premise	5	supports:2
never	RB	I-Premise	5	supports:2
tried	VBD	I-Premise	5	supports:2
to	TO	I-Premise	5	supports:2
distinguish	VB	I-Premise	5	supports:2
a	DT	I-Premise	5	supports:2
hand	NN	I-Premise	5	supports:2
soup	NN	I-Premise	5	supports:2
and	CC	I-Premise	5	supports:2
a	DT	I-Premise	5	supports:2
facial	JJ	I-Premise	5	supports:2
soup	NN	I-Premise	5	supports:2
because	IN	O	~	~
,	,	O	~	~
at	IN	O	~	~
least	JJS	O	~	~
for	IN	O	~	~
him	PRP	O	~	~
,	,	O	~	~
using	VBG	B-Premise	6	supports:5
two	CD	I-Premise	6	supports:5
different	JJ	I-Premise	6	supports:5
soups	NNS	I-Premise	6	supports:5
properly	RB	I-Premise	6	supports:5
was	VBD	I-Premise	6	supports:5
quite	RB	I-Premise	6	supports:5
annoying	JJ	I-Premise	6	supports:5
.	.	O	~	~
# sent
As	IN	O	~	~
the	DT	O	~	~
example	NN	O	~	~
above	IN	O	~	~
indicates	VBZ	O	~	~
,	,	O	~	~
you	PRP	B-Claim	7	For:~
will	MD	I-Claim	7	For:~
be	VB	I-Claim	7	For:~
more	RBR	I-Claim	7	For:~
likely	JJ	I-Claim	7	For:~
to	TO	I-Claim	7	For:~
accomplish	VB	I-Claim	7	For:~
your	PRP$	I-Claim	7	For:~
purpose	NN	I-Claim	7	For:~
by	IN	I-Claim	7	For:~
concentrating	VBG	I-Claim	7	For:~
on	IN	I-Claim	7	For:~
what	WP	I-Claim	7	For:~
you	PRP	I-Claim	7	For:~
do	VBP	I-Claim	7	For:~
well	RB	I-Claim	7	For:~
.	.	O	~	~
# paragraph 3
# sent
If	IN	B-Premise	8	supports:15
you	PRP	I-Premise	8	supports:15
keep	VBP	I-Premise	8	supports:15
doing	VBG	I-Premise	8	supports:15
what	WP	I-Premise	8	supports:15
you	PRP	I-Premise	8	supports:15
already	RB	I-Premise	8	supports:15
do	VBP	I-Premise	8	supports:15
well	RB	I-Premise	8	supports:15
,	,	I-Premise	8	supports:15
you	PRP	I-Premise	8	supports:15
can	MD	I-Premise	8	supports:15
be	VB	I-Premise	8	supports:15
better	RB	I-Premise	8	supports:15
good	JJ	I-Premise	8	supports:15
at	IN	I-Premise	8	supports:15
it	PRP	I-Premise	8	supports:15
.	.	O	~	~
# sent
When	WRB	B-Premise	9	supports:15
you	PRP	I-Premise	9	supports:15
're	VBP	I-Premise	9	supports:15
doing	VBG	I-Premise	9	supports:15
something	NN	I-Premise	9	supports:15
well	RB	I-Premise	9	supports:15
,	,	I-Premise	9	supports:15
you	PRP	I-Premise	9	supports:15
will	MD	I-Premise	9	supports:15
feel	VB	I-Premise	9	supports:15
more	RBR	I-Premise	9	supports:15
satisfied	JJ	I-Premise	9	supports:15
and	CC	I-Premise	9	supports:15
more	RBR	I-Premise	9	supports:15
interested	JJ	I-Premise	9	supports:15
in	IN	I-Premise	9	supports:15
it	PRP	I-Premise	9	supports:15
.	.	O	~	~
# sent
Then	RB	O	~	~
,	,	O	~	~
you	PRP	B-Premise	10	supports:15
will	MD	I-Premise	10	supports:15
motivate	VB	I-Premise	10	supports:15
yourself	PRP	I-Premise	10	supports:15
to	TO	I-Premise	10	supports:15
do	VB	I-Premise	10	supports:15
more	JJR	I-Premise	10	supports:15
.	.	O	~	~
# sent
To	TO	O	~	~
give	VB	O	~	~
an	DT	O	~	~
example	NN	O	~	~
,	,	O	~	~
I	PRP	B-Premise	11	supports:15
used	VBD	I-Premise	11	supports:15
to	TO	I-Premise	11	supports:15
be	VB	I-Premise	11	supports:15
good	JJ	I-Premise	11	supports:15
at	IN	I-Premise	11	supports:15
math	NN	I-Premise	11	supports:15
when	WRB	I-Premise	11	supports:15
I	PRP	I-Premise	11	supports:15
was	VBD	I-Premise	11	supports:15
in	IN	I-Premise	11	supports:15
junior	NN	I-Premise	11	supports:15
high	JJ	I-Premise	11	supports:15
school	NN	I-Premise	11	supports:15
.	.	O	~	~
# sent
Because	IN	O	~	~
I	PRP	B-Premise	12	supports:13
was	VBD	I-Premise	12	supports:13
really	RB	I-Premise	12	supports:13
satisfied	VBN	I-Premise	12	supports:13
with	IN	I-Premise	12	supports:13
the	DT	I-Premise	12	supports:13
fact	NN	I-Premise	12	supports:13
that	IN	I-Premise	12	supports:13
I	PRP	I-Premise	12	supports:13
could	MD	I-Premise	12	supports:13
do	VB	I-Premise	12	supports:13
preferably	RB	I-Premise	12	supports:13
,	,	O	~	~
I	PRP	B-Premise	13	supports:14
became	VBD	I-Premise	13	supports:14
to	TO	I-Premise	13	supports:14
absorb	VB	I-Premise	13	supports:14
myself	PRP	I-Premise	13	supports:14
to	TO	I-Premise	13	supports:14
try	VB	I-Premise	13	supports:14
more	JJR	I-Premise	13	supports:14
advanced	JJ	I-Premise	13	supports:14
level	NN	I-Premise	13	supports:14
of	IN	I-Premise	13	supports:14
math	NN	I-Premise	13	supports:14
problems	NNS	I-Premise	13	supports:14
.	.	O	~	~
# sent
As	IN	O	~	~
a	DT	O	~	~
result	NN	O	~	~
,	,	O	~	~
I	PRP	B-Premise	14	supports:11
could	MD	I-Premise	14	supports:11
not	RB	I-Premise	14	supports:11
only	RB	I-Premise	14	supports:11
get	VB	I-Premise	14	supports:11
higher	JJR	I-Premise	14	supports:11
scores	NNS	I-Premise	14	supports:11
in	IN	I-Premise	14	supports:11
math	NN	I-Premise	14	supports:11
test	NN	I-Premise	14	supports:11
but	CC	I-Premise	14	supports:11
also	RB	I-Premise	14	supports:11
solve	VB	I-Premise	14	supports:11
the	DT	I-Premise	14	supports:11
university-level	JJ	I-Premise	14	supports:11
problems	NNS	I-Premise	14	supports:11
.	.	O	~	~
# sent
Thus	RB	O	~	~
,	,	O	~	~
by	IN	B-Claim	15	For:~
doing	VBG	I-Claim	15	For:~
what	WP	I-Claim	15	For:~
you	PRP	I-Claim	15	For:~
are	VBP	I-Claim	15	For:~
good	JJ	I-Claim	15	For:~
at	IN	I-Claim	15	For:~
,	,	I-Claim	15	For:~
you	PRP	I-Claim	15	For:~
will	MD	I-Claim	15	For:~
be	VB	I-Claim	15	For:~
better	RBR	I-Claim	15	For:~
at	IN	I-Claim	15	For:~
it	PRP	I-Claim	15	For:~
.	.	O	~	~
# paragraph 4
# sent
In	IN	O	~	~
summary	NN	O	~	~
,	,	O	~	~
doing	VBG	B-MajorClaim	16	~
what	WP	I-MajorClaim	16	~
you	PRP	I-MajorClaim	16	~
can	MD	I-MajorClaim	16	~
already	RB	I-MajorClaim	16	~
do	VB	I-MajorClaim	16	~
well	RB	I-MajorClaim	16	~
helps	VBZ	I-MajorClaim	16	~
you	PRP	I-MajorClaim	16	~
make	VBP	I-MajorClaim	16	~
a	DT	I-MajorClaim	16	~
big	JJ	I-MajorClaim	16	~
accomplishment	NN	I-MajorClaim	16	~
and	CC	I-MajorClaim	16	~
do	VBP	I-MajorClaim	16	~
it	PRP	I-MajorClaim	16	~
much	RB	I-MajorClaim	16	~
better	RBR	I-MajorClaim	16	~
.	.	O	~	~
